article,sentiment
"South Korean President Yoon Suk Yeol on Monday nominated former chief economic advisor Choi Sang-mok to be the country’s next finance minister, with the incumbent widely expected to step down to run for election.",-0.011111111111111117
"South Korean President Yoon Suk Yeol is likely to announce a major cabinet reshuffle as early as Monday, with as many as 10 ministers including the finance minister set to be replaced, Yonhap news agency reported.",0.165625
"An apparently random stabbing attack in a commuter town near Seoul, the second such rampage in South Korea in less than two weeks, has sparked fear in a country that has long been considered safe with a low murder rate and strict firearm curbs.",-0.07962962962962965
Have women been “sleeping’ on the competitive edge that learning to play poker could give their careers? Embracing the skills needed to succeed in poker can be a game changer for women.,-0.4
"Once the cameras stopped on the set of 'Hierarchy,' the stars had fun hanging out together, sharing snacks and playing pranks.",0.3
Three of the year’s most popular Korean films will be shown at the Korean Cultural Center New York as part of the New York Asian Film Festival (July 12 to 28).,0.19610389610389609
